Code,GMPE,Year,TectonicRegion,RequiresDistances,RequiresRupture,RequiresSites,DefinedForIMTs,DefinedForStdDevs,Shortcut,Description
ParkerEtAl2020SSlabCAMN,ParkerEtAl2020SSlabCAMN,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabCAMN,
ParkerEtAl2020SSlabCAMS,ParkerEtAl2020SSlabCAMS,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabCAMS,
ParkerEtAl2020SSlabCascadia,ParkerEtAl2020SSlabCascadia,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabCascadia,
ParkerEtAl2020SSlabCascadiaOut,ParkerEtAl2020SSlabCascadiaOut,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabCascadiaOut,
ParkerEtAl2020SSlabCascadiaSeattle,ParkerEtAl2020SSlabCascadiaSeattle,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabCascadiaSeattle,
ParkerEtAl2020SSlabJapanPac,ParkerEtAl2020SSlabJapanPac,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabJapanPac,
ParkerEtAl2020SSlabJapanPhi,ParkerEtAl2020SSlabJapanPhi,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30 z2pt5,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabJapanPhi,
ParkerEtAl2020SSlabSAN,ParkerEtAl2020SSlabSAN,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabSAN,
ParkerEtAl2020SSlabSAS,ParkerEtAl2020SSlabSAS,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabSAS,
ParkerEtAl2020SSlabTaiwanE,ParkerEtAl2020SSlabTaiwanE,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabTaiwanE,
ParkerEtAl2020SSlabTaiwanW,ParkerEtAl2020SSlabTaiwanW,2020,Subduction IntraSlab,rrup,hypo_depth mag,vs30,PGA PGV SA,Inter event Intra event Total,Pa2020SSlabTaiwanW,
PezeschkEtAl2015NGAEastM1SS,PezeschkEtAl2015NGAEastM1SS,2015,Active Shallow Crust,rrup,mag,vs30,PGA SA,Inter event Intra event Total,Pe2015NGAEastM1SS,
